,categories,Count,category_main_fr,category_main
525,Yaourts au bifidus,1,Produits laitiers,Dairy products
526, breakfasts,1,,
527,Italian cheeses,1,Produits laitiers,Dairy products
528,Pâtes fraîches,1,Pâtes alimentaires,
529,Pâtes à tartiner aux noisettes et au cacao,1,Pâtes à tartiner,Spreads
530,Milkfat,1,Produits laitiers,Dairy products
531,Produit de la mer,1,Produits de la mer,"Meat, fish and egg"
532,fr:porcs-au-caramel,1,,
533,Nut butters,1,Pâtes à tartiner,Spreads
534,Poitrines de porc,1,Viandes et charcuteries,"Meat, fish and egg"
535,Legumes and their products,1,Légumineuses,"Grains, beans and legumes"
536,Pesto,1,Sauces,Sauces
537,Tuna in brine,1,Produits de la mer,"Meat, fish and egg"
538,Sliced breads,1,Pains et céréales,"Grains, beans and legumes"
539,Erdnussbutter,1,Pâtes à tartiner,Spreads
540,Torsades,1,Pains et céréales,"Grains, beans and legumes"
541,Grains soufflées,1,Pains et céréales,"Grains, beans and legumes"
542,Erfrischungsgetränke,1,Boissons,Drinks
543, appetizers,1,,
544,Figues séchées,1,Fruits séchés,Dried fruits and nuts
545,Saucisses françaises,1,Viandes et charcuteries,"Meat, fish and egg"
546,Kirschen,1,Fruits,Fruits
547,Poissons panés,1,Plats préparés,Ready meals
548,Compote pomme framboise,1,Compote de fruits,Baby food
549,Beurres,1,Produits laitiers,Dairy products
550,Laits entiers,1,Produits laitiers,Dairy products
551, olive-oils,1,Huiles,Oils
552, seeds,1,Fruits à coque,
553,Oeufs labellisés biologiques,1,Oeufs,
554,Morues,1,Produits de la mer,"Meat, fish and egg"
555,Cheeses of the Netherlands,1,Produits laitiers,Dairy products
556,Camemberts pasteurisés,1,Produits laitiers,Dairy products
557,Waters,1,Eau,Drinks
558, processed-cheese,1,Produits laitiers,Dairy products
559,de:Siropes,1,,
560,Chocolats au lait,1,Chocolats,Confections
561, wheats,1,Pains et céréales,"Grains, beans and legumes"
562,fresh-meals,1,Plats préparés,Ready meals
563,10 years old,1,,
564,Fresh milks,1,Produits laitiers,Dairy products
565,Desserts glacés,1,,
566,fromage frais nature,1,Produits laitiers,Dairy products
567,Saucissons,1,Viandes et charcuteries,"Meat, fish and egg"
568,Pains complets,1,Pains et céréales,"Grains, beans and legumes"
569,Pizzas et tartes surgelées,1,"Plats préparés, Surgelés",
570,gouter,1,,
571,Fruits based foods,1,Aliments et boissons à base de végétaux,Plant based products
572, frozen-steaks,1,Viandes et charcuteries,"Meat, fish and egg"
573,Poissons à la bordelaise,1,Plats préparés,Ready meals
574, fr:cereales-au-miel,1,Pains et céréales,"Grains, beans and legumes"
575,Sandwichs,1,Plats préparés,Ready meals
576, stuffed-pastas,1,Plats préparés,Ready meals
577,Bordeaux,1,Boissons alcoolisées,Alcoholic beverages
578, dairy-desserts,1,Produits laitiers,Dairy products
579,White tahini,1,,
580,Olives,1,,
581,fr:Sirop d'érable,1,,
582,Canned corn,1,"Conserves, Légumes",
583,Fromages à pâte persillée,1,Produits laitiers,Dairy products
584,Pains-au-lait-aux-oeufs-frais,1,Plats préparés,Ready meals
585, puddings,1,,
586,Black teas,1,Thés et infusions,Tee and infusions
587,Boissons végétales desoja à la vanille,1,Aliments et boissons à base de végétaux,Plant based products
588,Tortellini,1,Pâtes alimentaires,
589,fr:Boissons végétales de soja,1,Aliments et boissons à base de végétaux,Plant based products
590,Sirops,1,Boissons,Drinks
591,Charcuteries diverses,1,Viandes et charcuteries,"Meat, fish and egg"
592,Riz noirs,1,Riz,
593,Biscuits au chocolat noir,1,Biscuits et gateaux,Confections
594,pork-meals,1,Plats préparés,Ready meals
595, breaded-products,1,Pains et céréales,"Grains, beans and legumes"
596,fr:FRomages de vache,1,Produits laitiers,Dairy products
597,Jus de pomme,1,Jus de fruits,Drinks
598,meat-based-products,1,Viandes et charcuteries,"Meat, fish and egg"
599,Sugared beverages,1,Boissons,Drinks
600,Sauces soja,1,Sauces,Sauces
601,Mascarpone,1,Produits laitiers,Dairy products
602,Cow cheeses,1,Produits laitiers,Dairy products
603,bebida con frutas,1,,
604,Confitures de fraises,1,,
605, fr:Produits à base de levure de bière,1,,
606,Fromage frais,1,Produits laitiers,Dairy products
607,Lasagnes à la bolognaise,1,Plats préparés,Ready meals
608,Pastas,1,Pâtes alimentaires,
609, microwave-meals,1,Plats préparés,Ready meals
610,Aoc-products,1,,
611,Foies gras de canard,1,Viandes et charcuteries,"Meat, fish and egg"
612,Biscottes pauvres en sel,1,Pains et céréales,"Grains, beans and legumes"
613,Sauces tomates pimentees,1,Sauces,Sauces
614,Biscottes au froment,1,Pains et céréales,"Grains, beans and legumes"
615,Torsades-semi-completes,1,Pains et céréales,"Grains, beans and legumes"
616, spring-waters,1,Eau,Drinks
617,Beurres doux,1,Produits laitiers,Dairy products
618,Gaufres,1,,
619,Flakes,1,Pains et céréales,"Grains, beans and legumes"
620,crêpe,1,,
621, breakfast-cereals,1,Pains et céréales,"Grains, beans and legumes"
622,Yaourts à la fraise,1,Produits laitiers,Dairy products
623,Lardons natures,1,Viandes et charcuteries,"Meat, fish and egg"
624,Quiches,1,Plats préparés,Ready meals
625,Tartes salées,1,Plats préparés,Ready meals
626,Palets bretons,1,Biscuits et gateaux,Confections
627, rice-puddings,1,Plats préparés,Ready meals
628,Harengs en conserve,1,"Conserves, Produits de la mer",
629,Yaourts au soja,1,Aliments et boissons à base de végétaux,Plant based products
630,fr:produit-lacte,1,Produits laitiers,Dairy products
631,Fruits à coques décortiquées,1,Fruits à coque,
632,Boissons lactées au café,1,Boissons,Drinks
633,Céréales soufflées,1,Pains et céréales,"Grains, beans and legumes"
634,Feta,1,Produits laitiers,Dairy products
635,Barres aux fruits,1,,
636,chocolat au beurre de cacao cru,1,Chocolats,Confections
637,Crevettes frites,1,"Produits de la mer, Plats préparés",
638,Champagnes rosés,1,Boissons alcoolisées,Alcoholic beverages
639,Croûtons,1,Pains et céréales,"Grains, beans and legumes"
640, fr:fondants-au-chocolat,1,Chocolats,Confections
641,Jus de pommes pur jus,1,Jus de fruits,Drinks
642,Pizzas surgelées,1,Plats préparés,Ready meals
643,nuts,1,Fruits à coque,
644,Eaux aromatisées,1,Boissons,Drinks
645,Filets de cabillaud,1,Produits de la mer,"Meat, fish and egg"
646,Crêpes de froment,1,,
647,Postres vegetales con cacao,1,,
648,Grated cheese,1,Produits laitiers,Dairy products
649,Desserts lactés natures,1,,
650,Pains au lait,1,Pains et céréales,"Grains, beans and legumes"
651,Pains au lait aux pépites de chocolat,1,Pains et céréales,"Grains, beans and legumes"
652, fats,1,,
653,Bonbons,1,,
654,Haricots blancs,1,Légumineuses,"Grains, beans and legumes"
655,Tomates et dérivés,1,Fruits,Fruits
656,Tartes surgelées (salées),1,"Plats préparés, Surgelés",
657,de:pflanzliche-lebensmittel-und-getranke,1,Aliments et boissons à base de végétaux,Plant based products
658,Tahini,1,Pâtes à tartiner,Spreads
659,Nectars de pêche,1,Jus de fruits,Drinks
660,Fromages labellisés,1,Produits laitiers,Dairy products
661, industrial-cheese,1,Produits laitiers,Dairy products
662,Rooibos,1,Thés et infusions,Tee and infusions
663,fromage,1,Produits laitiers,Dairy products
664,Saucen,1,Sauces,Sauces
665, poultries,1,,
666,de:Endulzantes,1,,
667,Vinos,1,Boissons alcoolisées,Alcoholic beverages
668,Canned cereals,1,Conserves,Canned products
669,Matières grasses à tartiner,1,Pâtes à tartiner,Spreads
670,Appetizers,1,,
671,Maquereaux en conserve,1,"Conserves, Produits de la mer",
672,Getränke,1,Boissons,Drinks
673, fr:Riz au lait vanille de Madagascar,1,Plats préparés,Ready meals
674,Apple compotes,1,Compote de fruits,Baby food
675,Jus de fruits,1,Jus de fruits,Drinks
676,Meat analogues,1,Viandes et charcuteries,"Meat, fish and egg"
677,Pickles d'origine végétale,1,,
678,Fromages du Nord-Pas-de-Calais,1,Produits laitiers,Dairy products
679,Sirops traditionnels,1,,
680,Confitures et marmelades,1,Pâtes à tartiner,Spreads
681,Passierte Tomaten,1,,
682,Nudeln,1,,
683, red-pestos,1,Sauces,Sauces
684,Boissons végétales de soja nature,1,Aliments et boissons à base de végétaux,Plant based products
685, fr:cordons-bleus-de-poulet,1,"Viandes et charcuteries, Plats préparés",
686,Miels de citronnier,1,Miels,Honeys
687, strawberry-biscuits,1,Biscuits et gateaux,Confections
688, fermented-milk-products,1,Produits laitiers,Dairy products
689,Lardons,1,Viandes et charcuteries,"Meat, fish and egg"
690,Gaspacho,1,Plats préparés,Ready meals
691,Magrets de canard,1,Viandes et charcuteries,"Meat, fish and egg"
692,Salty snacks,1,Biscuits et gateaux,Confections
693,Confitures,1,Pâtes à tartiner,Spreads
694, durum-wheats,1,Pains et céréales,"Grains, beans and legumes"
695, Boulangerie,1,Pains et céréales,"Grains, beans and legumes"
696,Mimolettes-vieilles,1,Produits laitiers,Dairy products
697,Kartoffelchips,1,Pommes de terre,
698,Coulis de tomates,1,Sauces,Sauces
699,Crêpe au chocolat,1,,
700,Coeurs d'artichauts,1,Légumes,Vegetables
701,Biscuits and cakes,1,Biscuits et gateaux,Confections
702, seafood,1,Produits de la mer,"Meat, fish and egg"
703, mackerels-fillets,1,Produits de la mer,"Meat, fish and egg"
704,Plats à base de poisson,1,Produits de la mer,"Meat, fish and egg"
705, fishes,1,Produits de la mer,"Meat, fish and egg"
706,Chips de manioc à la crevette,1,,
707,Légumes bio,1,Légumes,Vegetables
708,Mueslis aux fruits,1,,
709,Fromages au lait de bufflonne,1,Produits laitiers,Dairy products
710,Purées de légumes,1,Nourriture pour bébé,Baby food
711,Parmigiano-Reggiano,1,Produits laitiers,Dairy products
712,Beurres demi-sel,1,Produits laitiers,Dairy products
713,Fromage Frais maigre,1,Produits laitiers,Dairy products
714,Goat cheeses,1,Produits laitiers,Dairy products
715,Thé à la menthe,1,Thés et infusions,Tee and infusions
716,Desserts de soja à la vanille,1,Aliments et boissons à base de végétaux,Plant based products
717,Fromage à pâte dure,1,Produits laitiers,Dairy products
718, beef-steaks,1,Viandes et charcuteries,"Meat, fish and egg"
719, meat-based-products,1,Viandes et charcuteries,"Meat, fish and egg"
720,Huiles d'olive vierges extra,1,Huiles,Oils
721,Méta-catégorie,1,,
722,Knacks industrielles,1,,
723,Pâtes à tartiner au chocolat,1,Pâtes à tartiner,Spreads
724,Pomme de terre,1,Pommes de terre,
725,Vins rosés,1,Boissons alcoolisées,Alcoholic beverages
726, french-cheeses,1,Produits laitiers,Dairy products
727,Légumineuses en conserve,1,Légumineuses,"Grains, beans and legumes"
728,fr:Mueslis croustillants,1,,
729,Légumes préparés,1,Légumes,Vegetables
730,shelled-nuts,1,Fruits à coque,
731, pasteurized-cheeses,1,Produits laitiers,Dairy products
732,Fruits,1,Fruits,Fruits
733,Saucisses de Strasbourg,1,Viandes et charcuteries,"Meat, fish and egg"
734,Tofu,1,Aliments et boissons à base de végétaux,Plant based products
735,Soupes réfrigérées,1,Plats préparés,Ready meals
736,Früchte,1,Fruits,Fruits
737,Miels italiens,1,Miels,Honeys
738, tomato-sauces,1,Sauces,Sauces
739,Pickled gherkins,1,,
740,Jus de carotte,1,Jus de fruits,Drinks
741,Bebidas alcohólicas,1,,
742,Yaourts brassés nature,1,Produits laitiers,Dairy products
743, chicken-ham,1,Viandes et charcuteries,"Meat, fish and egg"
744, cow-cheeses,1,Produits laitiers,Dairy products
745,Boissons lactées,1,Produits laitiers,Dairy products
746,Crevettes cuites,1,Produits de la mer,"Meat, fish and egg"
747, mixed-puffed-cereals,1,Pains et céréales,"Grains, beans and legumes"
748,Confiseries,1,Biscuits et gateaux,Confections
749,Käse,1,Produits laitiers,Dairy products
750,Essige,1,,
751,fr:nusse,1,Fruits à coque,
752,Filets de perche,1,Produits de la mer,"Meat, fish and egg"
753,fr:mandeln,1,Fruits à coque,
754,Noix décortiquées,1,Fruits à coque,
755,Bolognese-Soße,1,Sauces,Sauces
756,Poissons et viandes et oeufs,1,,
757,Cereal butters,1,Pâtes à tartiner,Spreads
758, carbonated-waters,1,Eau,Drinks
759,Sauces tomates au basilic,1,Sauces,Sauces
760,alcoholic-beverages,1,Boissons alcoolisées,Alcoholic beverages
761,Cream cheeses,1,Produits laitiers,Dairy products
762,Pates-seches,1,Pâtes alimentaires,
763,Breakfast cereals,1,Pains et céréales,"Grains, beans and legumes"
764, pestos,1,Sauces,Sauces
765, fr:Blés durs précuits,1,Pains et céréales,"Grains, beans and legumes"
766,Nudelsoßen,1,Sauces,Sauces
767,Kokosmilch,1,Aliments et boissons à base de végétaux,Plant based products
768,nuts-and-their-products,1,Fruits à coque,
769,Lait partiellement écrémé,1,Produits laitiers,Dairy products
770, mackerel-fillets-in-mustard-sauce,1,Produits de la mer,"Meat, fish and egg"
771,Canned Vegetables,1,"Conserves, Légumes",
772,Saucisses,1,Viandes et charcuteries,"Meat, fish and egg"
773,Tomatensaucen,1,Sauces,Sauces
774,Terrines de Saint-Jacques,1,"Produits de la mer, Plats préparés",
775,Pouding,1,,
776,Instant noodle soups,1,Plats préparés,Ready meals
777,Pignons de pin décortiqués,1,Fruits à coque,
778,Cooked pressed cheeses,1,Produits laitiers,Dairy products
779,Brote,1,Pains et céréales,"Grains, beans and legumes"
780,pâtes séche,1,Pâtes alimentaires,
781,Pays d'Oc,1,,
782,biscuits,1,Biscuits et gateaux,Confections
783,Epices,1,Condiments,Condiments
784,Thons roses,1,Produits de la mer,"Meat, fish and egg"
785,Weichkäse,1,,
786,Wild smoked salmons,1,Produits de la mer,"Meat, fish and egg"
787,Pains-au-lait-au-levain,1,Pains et céréales,"Grains, beans and legumes"
788,Mimolettes,1,Produits laitiers,Dairy products
789,Miels crémeux,1,Miels,Honeys
790,Chocolats noirs à la fleur de sel,1,Chocolats,Confections
791, meats,1,Viandes et charcuteries,"Meat, fish and egg"
792,Seitan,1,,
793,Assaisonnements,1,Condiments,Condiments
794,goûter,1,,
795,Miels d'agrumes,1,Miels,Honeys
796,Lentilles blondes,1,Légumineuses,"Grains, beans and legumes"
797,Champagne français,1,Boissons alcoolisées,Alcoholic beverages
798,Matières grasses animales,1,,
799,Extra-virgin olive oils,1,,
800, fr:Biscuits-fourres,1,Biscuits et gateaux,Confections
801, hams,1,Viandes et charcuteries,"Meat, fish and egg"
802,Truffes en conserve,1,Conserves,Canned products
803, liqueurs,1,Boissons alcoolisées,Alcoholic beverages
804,Pâte pour lasagne au épinard,1,Pâtes alimentaires,
805,Frozen foods,1,Surgelés,Frozen products
806,Chips and fries,1,Pommes de terre,
807,Snacks,1,,
808,Biscuits aux amandes,1,Biscuits et gateaux,Confections
809,Glaces au chocolat,1,,
810, Pickles,1,,
811, Pickled capers,1,,
812,Fromages blancs natures,1,Produits laitiers,Dairy products
813, Plant-based pickles,1,,
814,Flocons de céréales,1,Pains et céréales,"Grains, beans and legumes"
815, fr:Oeufs de truite,1,Produits de la mer,"Meat, fish and egg"
816,Snackfoods,1,,
817,Fromages à pâte molle,1,Produits laitiers,Dairy products
818,Boissons aux légumes,1,Aliments et boissons à base de végétaux,Plant based products
819,Brioches au chocolat,1,Pains et céréales,"Grains, beans and legumes"
820,Desserts lactés au chocolat,1,Produits laitiers,Dairy products
821,Céréales,1,Pains et céréales,"Grains, beans and legumes"
822,Milchprodukte,1,Produits laitiers,Dairy products
823,Dinkelmehle Type 1050,1,Pains et céréales,"Grains, beans and legumes"
824,Babykekse,1,Nourriture pour bébé,Baby food
825, olive-tree-products,1,,
826, beef,1,Viandes et charcuteries,"Meat, fish and egg"
827, canned-foods,1,Conserves,Canned products
828,Fruits à coques,1,Fruits à coque,
829,Boissons végétales de soja à la vanille,1,Aliments et boissons à base de végétaux,Plant based products
830,Gezuckerte Getränke,1,Boissons,Drinks
